Category,Skill
Programming Languages,Python
Programming Languages,Java
Programming Languages,C
Programming Languages,C++
Programming Languages,C#
Programming Languages,JavaScript
Programming Languages,TypeScript
Programming Languages,Go
Programming Languages,Rust
Programming Languages,PHP
Programming Languages,R
Programming Languages,Kotlin
Programming Languages,Swift
Programming Languages,Dart
Programming Languages,Scala
Programming Languages,Perl
Programming Languages,MATLAB
Programming Languages,Bash
Programming Languages,Shell Scripting
Programming Languages,Assembly
Web Development,HTML
Web Development,CSS
Web Development,Bootstrap
Web Development,Tailwind CSS
Web Development,Material UI
Web Development,React
Web Development,Angular
Web Development,Vue
Web Development,Svelte
Web Development,Next.js
Web Development,Nuxt.js
Web Development,Node.js
Web Development,Express.js
Web Development,Django
Web Development,Flask
Web Development,FastAPI
Web Development,Spring Boot
Web Development,Laravel
Web Development,ASP.NET
API & Web Services,REST API
API & Web Services,RESTful API
API & Web Services,GraphQL
API & Web Services,SOAP
API & Web Services,JSON
API & Web Services,XML
API & Web Services,AJAX
API & Web Services,JWT
API & Web Services,OAuth
API & Web Services,Postman
API & Web Services,Swagger
Databases,SQL
Databases,MySQL
Databases,PostgreSQL
Databases,Oracle
Databases,SQLite
Databases,MongoDB
Databases,MariaDB
Databases,Redis
Databases,Firebase
Databases,Cassandra
Databases,Neo4j
Databases,CouchDB
Databases,Elasticsearch
Data Science,NumPy
Data Science,Pandas
Data Science,Matplotlib
Data Science,Seaborn
Data Science,Plotly
Data Science,Bokeh
Data Science,Data Analysis
Data Science,Data Visualization
Data Science,Statistics
Data Science,Probability
Data Science,Linear Algebra
Data Science,Calculus
Data Science,Optimization
Artificial Intelligence,Scikit-learn
Artificial Intelligence,TensorFlow
Artificial Intelligence,Keras
Artificial Intelligence,PyTorch
Artificial Intelligence,OpenCV
Artificial Intelligence,NLTK
Artificial Intelligence,spaCy
Artificial Intelligence,Transformers
Artificial Intelligence,Hugging Face
Artificial Intelligence,Machine Learning
Artificial Intelligence,Deep Learning
Artificial Intelligence,Artificial Intelligence
Artificial Intelligence,Generative AI
Artificial Intelligence,LLM
Artificial Intelligence,Prompt Engineering
Artificial Intelligence,Natural Language Processing
Artificial Intelligence,Computer Vision
Artificial Intelligence,Reinforcement Learning
Artificial Intelligence,Transfer Learning
Artificial Intelligence,Feature Engineering
Artificial Intelligence,Recommendation Systems
Artificial Intelligence,Time Series Analysis
Artificial Intelligence,Predictive Analytics
Artificial Intelligence,Decision Trees
Artificial Intelligence,Random Forest
Artificial Intelligence,XGBoost
Artificial Intelligence,LightGBM
Artificial Intelligence,Logistic Regression
Artificial Intelligence,Linear Regression
Artificial Intelligence,K-Means
Artificial Intelligence,KNN
Artificial Intelligence,SVM
Artificial Intelligence,Naive Bayes
