Job Role,Skills
Python Developer,"Python, OOP, DSA, SQL, Git, GitHub, Flask, Django, REST API"
Java Developer,"Java, OOP, DSA, Spring Boot, SQL, Git, GitHub, Maven"
C++ Developer,"C++, OOP, DSA, Algorithms, STL, Git, Linux"
Software Engineer,"Python, Java, OOP, DSA, DBMS, Operating Systems, Computer Networks, Git"
Frontend Developer,"HTML, CSS, JavaScript, React, Bootstrap, Tailwind CSS, Git"
Backend Developer,"Python, Django, Flask, SQL, REST API, Git, Docker"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, Express.js, SQL, Git"
Web Developer,"HTML, CSS, JavaScript, Bootstrap, React, Node.js, Git"
React Developer,"React, JavaScript, HTML, CSS, Redux, Git"
Node.js Developer,"Node.js, Express.js, JavaScript, MongoDB, REST API, Git"
Django Developer,"Python, Django, SQL, REST API, Git, HTML, CSS"
Flask Developer,"Python, Flask, SQL, REST API, Git"
Data Analyst,"Python, SQL, Excel, Power BI, Pandas, Matplotlib, Data Analysis"
Business Analyst,"Excel, Power BI, SQL, Data Analysis, Tableau, Communication"
Data Scientist,"Python, Pandas, NumPy, Scikit-learn, Machine Learning, SQL, Matplotlib"
Machine Learning Engineer,"Python, Machine Learning, Scikit-learn, TensorFlow, Keras, Pandas, NumPy"
AI Engineer,"Python, Artificial Intelligence, Machine Learning, TensorFlow, PyTorch, NLP"
Deep Learning Engineer,"Python, TensorFlow, Keras, PyTorch, Deep Learning, CNN, RNN"
Computer Vision Engineer,"Python, OpenCV, PyTorch, TensorFlow, Computer Vision, YOLO"
NLP Engineer,"Python, NLP, spaCy, NLTK, Transformers, Hugging Face"
Generative AI Engineer,"Python, Generative AI, LLM, Prompt Engineering, Hugging Face, Transformers"
DevOps Engineer,"Docker, Kubernetes, AWS, Linux, Git, Jenkins, CI/CD"
Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Linux"
AWS Cloud Engineer,"AWS, EC2, S3, Lambda, Docker, Linux"
Azure Cloud Engineer,"Azure, Cloud Computing, Docker, Kubernetes"
Cyber Security Analyst,"Cyber Security, Network Security, Ethical Hacking, Cryptography, Linux"
Ethical Hacker,"Ethical Hacking, Penetration Testing, Nmap, Wireshark, OWASP"
Network Engineer,"Computer Networks, TCP/IP, DNS, DHCP, HTTP, Linux"
Database Administrator,"SQL, MySQL, PostgreSQL, Oracle, DBMS"
Database Developer,"SQL, Oracle, MySQL, PostgreSQL, Database Management System"
Android Developer,"Java, Kotlin, Android Studio, Android Development, Firebase"
Flutter Developer,"Flutter, Dart, Firebase, REST API"
React Native Developer,"React Native, JavaScript, Firebase, REST API"
iOS Developer,"Swift, Xcode, iOS Development"
IoT Developer,"IoT, Arduino, Raspberry Pi, C, Python, Embedded Systems"
Embedded Systems Engineer,"Embedded C, C++, Microcontrollers, Arduino, Raspberry Pi"
Blockchain Developer,"Blockchain, Solidity, Ethereum, Web3, Smart Contracts"
Game Developer,"C++, Unity, Unreal Engine, OOP"
QA Engineer,"Software Testing, Manual Testing, Automation Testing, Selenium, PyTest"
Test Automation Engineer,"Selenium, PyTest, Cypress, Automation Testing, JUnit"
Power BI Developer,"Power BI, SQL, Excel, Data Analysis"
Tableau Developer,"Tableau, SQL, Excel, Data Visualization"
BI Developer,"Power BI, Tableau, SQL, Data Warehousing, ETL"
Big Data Engineer,"Hadoop, Apache Spark, Hive, Kafka, Python"
Data Engineer,"Python, SQL, Apache Spark, ETL, Airflow"
MLOps Engineer,"Python, Docker, Kubernetes, AWS, Git, CI/CD"
Research Engineer,"Python, Machine Learning, Deep Learning, PyTorch, TensorFlow"
